ccode,year,oof_amt,oof_adj,oda_amt,oda_adj,vof_amt,vof_adj
31,2004,60767572.768171564,60767572.768171564,0,0,0,0
31,2005,108511.667480707,108511.667480707,0,0,0,0
31,2006,8289492.11391149,8289492.11391149,0,0,0,0
31,2009,0,0,0,0,0,0
31,2010,3487896262.937105,3487896262.937105,0,0,0,0
31,2011,36896.4054402381,36896.4054402381,0,0,0,0
31,2012,47868495.6228919,47868495.6228919,0,0,0,0
31,2013,0,0,0,0,0,0
31,2014,1190127.373764124,1190127.373764124,0,0,0,0
31,2015,167840.704922806,167840.704922806,0,0,0,0
31,2016,87640.49141487363,87640.49141487363,0,0,0,0
31,2017,57616.9078510486,57616.9078510486,0,0,0,0
31,2018,3269.54924363602,3269.54924363602,0,0,0,0
31,2019,584253.5983763117,584253.5983763117,0,0,0,0
31,2020,10866.8240332293,10866.8240332293,0,0,0,0
31,2021,342869.2,342869.2,0,0,0,0
40,2001,880088218.594657,880088218.594657,61867687.22943703,61867687.22943703,0,0
40,2004,40997738.1939594,40997738.1939594,27518094.3436286,27518094.3436286,0,0
40,2007,281404949.483073,281404949.483073,0,0,0,0
40,2009,390522612.551445,390522612.551445,1652211.05310227,1652211.05310227,450603014.482437,450603014.482437
40,2014,66425713.8845092,66425713.8845092,132851427.769018,132851427.769018,0,0
40,2015,68145575.19825743,68145575.19825743,53352980.5777833,53352980.5777833,0,0
40,2016,572690186.553856,572690186.553856,3341676758.65446,3341676758.65446,15104194.1454698,15104194.1454698
40,2017,217561444.0455597,217561444.0455597,93569858.35010296,93569858.35010296,13828057.8842516,13828057.8842516
40,2018,0,0,19181355.5626647,19181355.5626647,0,0
41,2016,0,0,70848.270501508,70848.270501508,0,0
41,2019,0,0,0,0,0,0
42,2008,0,0,0,0,0,0
42,2010,139272693.579624,139272693.579624,0,0,0,0
42,2018,0,0,0,0,0,0
51,2005,0,0,99214215.40637533,99214215.40637533,0,0
51,2006,44944413.5995137,44944413.5995137,0,0,27607921.5376596,27607921.5376596
51,2009,15092562.9909195,15092562.9909195,0,0,0,0
51,2010,558267360.2220429,558267360.2220429,101161347.30182137,101161347.30182137,0,0
51,2011,6149400.90670638,6149400.90670638,13708700.917622335,13708700.917622335,0,0
51,2012,0,0,1113774.5925147114,1113774.5925147114,0,0
51,2013,855174199.7763672,855174199.7763672,7393713.58818666,7393713.58818666,0,0
51,2014,22870337.8633891,22870337.8633891,8998191.76143082,8998191.76143082,0,0
51,2015,0,0,462346.7340213455,462346.7340213455,0,0
51,2016,206876949.86440304,206876949.86440304,0,0,2902011.28479423,2902011.28479423
51,2017,376123174.451645,376123174.451645,2650377.76114824,2650377.76114824,0,0
51,2018,21576.464810087,21576.464810087,44989818.630833395,44989818.630833395,0,0
51,2019,0,0,29451602.7729289,29451602.7729289,0,0
52,2010,0,0,0,0,0,0
52,2011,45089173.20926019,45089173.20926019,0,0,0,0
52,2012,0,0,0,0,0,0
52,2013,277691725.55049706,277691725.55049706,0,0,0,0
52,2014,0,0,0,0,0,0
52,2015,1962220.942784879,1962220.942784879,0,0,0,0
52,2017,0,0,0,0,0,0
52,2018,11062646.619044995,11062646.619044995,0,0,0,0
52,2019,112818761.01076314,112818761.01076314,0,0,0,0
52,2020,16523971.345682003,16523971.345682003,0,0,0,0
52,2021,1954519.3798449612,1954519.3798449612,0,0,0,0
53,2006,0,0,0,0,0,0
53,2008,0,0,219361.419143407,219361.419143407,0,0
53,2010,0,0,139272.693579624,139272.693579624,0,0
53,2011,2078497.50646675,2078497.50646675,0,0,0,0
53,2012,0,0,0,0,0,0
53,2013,31585.0234613153,31585.0234613153,0,0,0,0
53,2014,35935.8547316028,35935.8547316028,0,0,0,0
53,2015,216094160.9224263,216094160.9224263,0,0,0,0
53,2016,11245391.735351825,11245391.735351825,0,0,0,0
53,2017,8920825.842577858,8920825.842577858,0,0,0,0
53,2018,277788.9387882203,277788.9387882203,0,0,0,0
53,2019,140445.576532767,140445.576532767,0,0,0,0
53,2020,202089.333445658,202089.333445658,0,0,0,0
53,2021,650000,650000,0,0,0,0
54,2012,0,0,51965838.95264387,51965838.95264387,808290.13974731,808290.13974731
54,2013,0,0,6904001.490717404,6904001.490717404,725210.939281004,725210.939281004
54,2016,0,0,12988849.5919431,12988849.5919431,603218.793779957,603218.793779957
54,2020,365612.311178215,365612.311178215,568363.8537697407,568363.8537697407,0,0
54,2021,283711.851851851,283711.851851851,32406800,32406800,0,0
55,2006,0,0,114805123.31700373,114805123.31700373,0,0
55,2007,0,0,8996321.91442048,8996321.91442048,0,0
55,2010,162708.109728267,162708.109728267,2089090.40369436,2089090.40369436,0,0
55,2013,5752986.41616815,5752986.41616815,626686.973438797,626686.973438797,0,0
55,2015,0,0,0,0,0,0
55,2021,765722.5,765722.5,62391.9999999999,62391.9999999999,0,0
56,2003,0,0,0,0,0,0
56,2004,2530.72457987404,2530.72457987404,546636.509252792,546636.509252792,0,0
58,2012,0,0,17769541.591394324,17769541.591394324,0,0
58,2014,0,0,14664537.78724508,14664537.78724508,0,0
58,2018,0,0,63695663.04268707,63695663.04268707,0,0
70,2000,0,0,0,0,0,0
70,2004,346203122.526768,346203122.526768,0,0,0,0
70,2006,0,0,0,0,0,0
70,2007,0,0,0,0,0,0
70,2009,1502010048.27479,1502010048.27479,7510050.24137395,7510050.24137395,0,0
70,2011,461205068.002979,461205068.002979,0,0,0,0
70,2012,64224558.6185437,64224558.6185437,0,0,0,0
70,2013,0,0,0,0,0,0
70,2014,0,0,0,0,0,0
70,2015,261355534.6435464,261355534.6435464,0,0,28056889.2394738,28056889.2394738
70,2016,0,0,0,0,0,0
70,2017,92187052.5616779,92187052.5616779,43327914.7039886,43327914.7039886,11235297.0309544,11235297.0309544
70,2018,114434223.527261,114434223.527261,0,0,7193008.33599926,7193008.33599926
70,2019,674138767.357282,674138767.357282,0,0,13033349.5022408,13033349.5022408
70,2020,45104126.1893293,45104126.1893293,594660.9792773897,594660.9792773897,27474190.258729927,27474190.258729927
70,2021,373214285.72,373214285.72,0,0,0,0
91,2013,335838967.980348,335838967.980348,0,0,0,0
91,2014,66425713.8845092,66425713.8845092,0,0,0,0
91,2016,7084827.0501508,7084827.0501508,0,0,0,0
91,2017,4609352.62808389,4609352.62808389,0,0,0,0
91,2020,35973319.8468981,35973319.8468981,0,0,0,0
92,2018,0,0,15639213.832862,15639213.832862,0,0
92,2020,16752555.0358109,16752555.0358109,3057022.046178361,3057022.046178361,50257665.1074327,50257665.1074327
93,2019,14606339.9594078,14606339.9594078,0,0,0,0
94,2008,63270315.760885574,63270315.760885574,18295031.0633886,18295031.0633886,0,0
94,2009,0,0,168363177.73909268,168363177.73909268,0,0
94,2010,0,0,83563.6161477744,83563.6161477744,0,0
94,2012,104496996.6554,104496996.6554,0,0,0,0
94,2013,333898819.448191,333898819.448191,119696182.76020694,119696182.76020694,0,0
94,2014,57568.9520332413,57568.9520332413,83032142.3556366,83032142.3556366,0,0
94,2015,0,0,160698.547266516,160698.547266516,0,0
94,2019,0,0,0,0,0,0
94,2020,0,0,305396.75971415837,305396.75971415837,55841850.1193699,55841850.1193699
94,2021,0,0,4826720.72593879,4826720.72593879,0,0
95,2010,0,0,0,0,0,0
95,2011,42184890.2200058,42184890.2200058,0,0,42184890.2200058,42184890.2200058
95,2013,66663237.713797,66663237.713797,0,0,0,0
95,2016,0,0,0,0,0,0
95,2017,0,0,0,0,0,0
95,2018,130781969.74544111,130781969.74544111,28177872.9445295,28177872.9445295,0,0
95,2019,224712922.452427,224712922.452427,0,0,0,0
100,2005,0,0,0,0,0,0
100,2007,0,0,0,0,0,0
100,2009,5796256.77629242,5796256.77629242,450549.9004956723,450549.9004956723,2792236.67974283,2792236.67974283
100,2010,243727213.764342,243727213.764342,278545.387159248,278545.387159248,0,0
100,2012,0,0,0,0,0,0
100,2015,65466075.6402892,65466075.6402892,0,0,0,0
100,2017,124798222.405371,124798222.405371,116386153.85911818,116386153.85911818,0,0
100,2018,76289482.3515072,76289482.3515072,1886512.904357173,1886512.904357173,0,0
100,2019,469312938.541894,469312938.541894,1685346.9183932,1685346.9183932,33706938.3678641,33706938.3678641
100,2020,264566275.5728041,264566275.5728041,3706109.6750483364,3706109.6750483364,0,0
101,2002,212453666.67031,212453666.67031,4449029.72556649,4449029.72556649,0,0
101,2003,365409561.05678,365409561.05678,0,0,0,0
101,2004,91106084.8754654,91106084.8754654,0,0,0,0
101,2005,22381277.2791758,22381277.2791758,0,0,0,0
